Timestamp_LSL,DoF_0,DoF_1,DoF_2,DoF_3,DoF_4,DoF_5,DoF_6,DoF_7,DoF_8,DoF_9,DoF_10,DoF_11,DoF_12,DoF_13,DoF_14,DoF_15,DoF_16,DoF_17,DoF_18,DoF_19,DoF_20,DoF_21,DoF_22,DoF_23
47626.644,-27.358142358373023,28.647889756540533,20.988374757723577,-28.64788975654045,19.68305949223283,-28.647889756540483,4.274075781687588,-28.647889756540728,-11.459155902616123,0.0,7.788520504448053e-14,1.2589070406091757e-14,-11.459155902616157,0.0,4.2368635785955985e-14,2.7472325168602414e-14,-11.459155902616216,0.0,6.542725196268381e-14,3.1157744560259193e-14,-11.459155902616175,0.0,2.8624992133171465e-14,1.1131941385122302e-14
47626.67,-27.424483119487697,28.64788975654069,20.91508428443696,-28.647889756540632,19.68483233310211,-28.64788975654066,4.2481025631753875,-28.64788975654084,-11.45915590261621,0.0,5.781984598663361e-14,9.345781545794313e-15,-11.459155902616228,0.0,3.145331638285715e-14,2.0394702809553397e-14,-11.45915590261628,0.0,4.857140235620573e-14,2.3130657366006718e-14,-11.45915590261625,0.0,2.1250411237453156e-14,8.264048814565166e-15
47626.702,-27.351711410471083,28.647889756540835,20.936520253114146,-28.6478897565408,19.686188878619767,-28.647889756540813,4.216682653192265,-28.647889756540934,-11.45915590261629,0.0,4.495848417526721e-14,8.109112140855236e-15,-11.4591559026163,0.0,2.7495974287052103e-14,1.643736071374835e-14,-11.459155902616333,0.0,3.66993760687906e-14,1.9667983032177305e-14,-11.459155902616311,0.0,1.6551067498684666e-14,6.780045528638273e-15
47626.735,-27.399463806234877,28.647889756540923,20.867290734467236,-28.6478897565409,19.694758866251284,-28.64788975654091,4.191686079835393,-28.647889756540994,-11.459155902616338,0.0,3.2698020645023414e-14,5.8977058737305304e-15,-11.459155902616345,0.0,1.9997647860816005e-14,1.195478828584518e-14,-11.45915590261637,0.0,2.6691223655999988e-14,1.4304399426035174e-14,-11.459155902616352,0.0,1.2037486509985314e-14,4.931084148775025e-15
47626.777,-27.35627248444203,28.63089237766256,20.945024859932072,-28.647889756540962,19.697857977507592,-28.647889756540973,4.166408345938927,-28.647889756541037,-11.45915590261637,0.0,2.4234637876389052e-14,4.371174870276608e-15,-11.459155902616375,0.0,1.482156242873933e-14,8.860474098466586e-15,-11.459155902616395,0.0,1.9782608458268207e-14,1.3892780447962649e-14,-11.45915590261638,0.0,8.921767151548124e-15,4.622369915220631e-15
47626.803,-27.387053472815392,28.636279951979777,20.87829573421924,-28.647889756541026,19.708081322728162,-28.647889756541023,4.137820432626912,-28.647889756541073,-11.4591559026164,0.0,2.776307375674531e-14,6.891486213388223e-15,-11.459155902616402,0.0,1.6837811503228622e-14,9.868598635711233e-15,-11.459155902616414,0.0,2.079073299551285e-14,1.1120437970539874e-14,-11.459155902616397,0.0,1.0181922823103932e-14,4.118307646598308e-15
47626.836,-27.333134695780448,28.60757155399755,20.945229230041488,-28.647889756541055,19.70649499724825,-28.647889756541055,4.112943775021918,-28.647889756541087,-11.459155902616413,0.0,2.7374084622955683e-14,6.696991646493409e-15,-11.459155902616413,0.0,1.9171746305966385e-14,9.868598635711233e-15,-11.459155902616423,0.0,1.9234776460354342e-14,1.1314932537434687e-14,-11.459155902616407,0.0,9.598439122419492e-15,3.8265657962560876e-15
47626.868,-27.29902531056568,28.628409938716114,20.799277880995515,-28.64788975654111,19.70997133216923,-28.64788975654111,4.063115425278694,-28.647889756541122,-11.459155902616436,0.0,1.3225842124428971e-14,3.235664514270719e-15,-11.45915590261644,0.0,9.262866444114092e-15,4.768032587866645e-15,-11.459155902616445,0.0,9.293319585561403e-15,7.20527375496035e-15,-11.459155902616438,0.0,4.666848583450287e-15,2.7991511006375033e-15
47626.901,-27.218362875260485,28.581085280279922,20.85874745998701,-28.647889756541122,19.70381557575258,-28.647889756541122,4.0366877930542895,-28.647889756541133,-11.459155902616443,0.0,9.900213614123685e-15,2.4220589943192706e-15,-11.459155902616446,0.0,6.9337253244875804e-15,3.569114215554785e-15,-11.45915590261645,0.0,6.956521045373483e-15,5.393512840334649e-15,-11.459155902616445,0.0,3.4933728564314904e-15,2.0953065652685002e-15
47626.935,-27.31998911503039,28.597152888041467,20.784309165550578,-28.647889756541133,19.708783330839495,-28.647889756541126,4.014954685937119,-28.64788975654114,-11.459155902616448,0.0,7.60528183951878e-15,2.6133033088696794e-15,-11.45915590261645,0.0,5.266046973046981e-15,3.569114215554785e-15,-11.459155902616452,0.0,5.283359937052879e-15,4.246046953032196e-15,-11.459155902616448,0.0,2.6531575301037857e-15,1.5913498558515642e-15
