Timestamp_LSL,Thumb_CMC,Thumb_MCP,Thumb_IP,Index_MCP,Index_PIP,Index_DIP,Middle_MCP,Middle_PIP,Middle_DIP,Ring_MCP,Ring_PIP,Ring_DIP,Pinky_MCP,Pinky_PIP,Pinky_DIP
76507.652,148.3610248197511,138.99518580016132,137.81629915242132,114.2616819865772,101.67507716938027,123.74978105229914,138.92594221450656,72.77619109579132,138.91089050062718,155.98171618432983,62.78981986386568,140.2227202811243,177.6613626930839,120.49077105888259,154.19925776061837
76507.75,145.41917099995106,152.38667238928508,152.51973634294566,140.9513225157308,149.2699612295139,150.83729037644434,153.19477421730585,137.43674648433705,151.5961902252249,163.3809625778912,135.29647641830627,154.76596495173857,165.38779951432008,158.2533912046137,159.59090239252689
76507.776,144.85348383758424,177.14521449810297,176.91654026567113,101.41664760336502,153.43076326705187,167.46023457513783,92.13019591409635,156.98226208662103,170.39079761818957,92.93356918115882,161.82491398724662,171.4832806737199,108.78827400671851,165.2304222472055,174.60961915228742
76507.809,157.8669225826355,149.31513814102092,161.7766194825284,104.71048339270902,153.61825960852727,165.81913997871249,100.40554812901061,154.68078461360264,171.54814487215629,106.87212091690175,157.9566175739103,171.80220159552414,120.45060983292417,167.3529399328295,171.60032280303187
76507.865,148.9458629850831,152.27904735456656,159.30303138264696,135.94462331269946,135.30361255089522,159.19407998303433,140.51503621690924,139.68548240054957,159.82112902881732,151.1911735966162,144.27529966832722,160.87543194926232,154.99500854715566,164.31162871910533,169.03815939091746
76507.897,148.54364472607782,153.00823346570255,159.39533682666655,140.15232211993558,150.62910683398,162.6957480773887,144.57899246695035,149.39163332935888,159.6535931175586,153.40475749131346,152.3930601417282,167.26993217193385,154.10749658629948,167.93888700825877,173.89343609125353
76507.93,146.81188160156626,149.15355605374268,161.57881847850774,142.22128347665864,144.2120678326291,159.41534650139405,145.3213131878435,141.91673784974583,152.42847373490451,149.25916009208368,148.181940321831,158.1898359640717,150.85747870836383,163.71506164828526,153.976780472964
76507.978,145.56007223083094,151.8242858167798,161.56389900720356,139.7686021214356,145.17250278950874,157.80413676143817,141.84123257874285,141.19791360016978,150.24094007235433,146.2792250895046,139.85129315002996,139.45736427741465,150.21055184155006,158.9728437613964,128.29871794498652
76508.014,144.99196403817294,152.55682533715154,161.83196586518932,138.6904175577315,145.21866765032064,157.08308571138912,140.03821768019787,140.82451836803372,147.3683781141533,146.0055006375677,135.52918332424056,128.54925729100216,149.69026131299935,155.24844688780848,121.18950147478479
76508.041,144.47841227729174,150.6978565236194,161.3100203078147,138.37920760245038,145.63826138833673,156.87647625753843,141.30309010736804,141.15499921730375,147.3569307218892,147.22050871015014,133.88565546440276,123.67834950325721,150.8745095530955,154.13572934321022,109.38866559409637
76508.072,146.1125666138785,149.21078225094706,162.261048324046,137.08058714056182,144.3619809624188,157.28431499402834,139.08482162247415,137.9045714747071,144.43832348653814,145.48105901493753,130.4509625118803,124.49660256402305,149.22945387071795,151.6042551993185,108.22121108885146
76508.105,146.94133925966133,149.80051930544218,160.80902178925723,136.81204748469972,143.67878415168906,156.2916547826287,138.1091021467026,136.9975751544388,143.51740157551436,144.9051789792057,129.14454086039527,126.95333559413949,148.01419953123582,149.90924368353373,111.42739448162564
76508.137,145.96216383425443,149.63530080967146,162.56305066869984,137.3672419725086,141.07812222453526,156.08307785770853,138.34514993737213,135.25274238878282,139.7002942904475,144.36149960199418,130.19529366075457,128.21470705498223,147.22960163282175,155.0015044987479,116.40550030114724
