Timestamp_LSL,LM_0_X,LM_0_Y,LM_0_Z,LM_1_X,LM_1_Y,LM_1_Z,LM_2_X,LM_2_Y,LM_2_Z,LM_3_X,LM_3_Y,LM_3_Z,LM_4_X,LM_4_Y,LM_4_Z,LM_5_X,LM_5_Y,LM_5_Z,LM_6_X,LM_6_Y,LM_6_Z,LM_7_X,LM_7_Y,LM_7_Z,LM_8_X,LM_8_Y,LM_8_Z,LM_9_X,LM_9_Y,LM_9_Z,LM_10_X,LM_10_Y,LM_10_Z,LM_11_X,LM_11_Y,LM_11_Z,LM_12_X,LM_12_Y,LM_12_Z,LM_13_X,LM_13_Y,LM_13_Z,LM_14_X,LM_14_Y,LM_14_Z,LM_15_X,LM_15_Y,LM_15_Z,LM_16_X,LM_16_Y,LM_16_Z,LM_17_X,LM_17_Y,LM_17_Z,LM_18_X,LM_18_Y,LM_18_Z,LM_19_X,LM_19_Y,LM_19_Z,LM_20_X,LM_20_Y,LM_20_Z
76507.652,0.549053430557251,0.31806227564811707,-1.9724181754554593e-07,0.5374616384506226,0.23803813755512238,0.015144594945013523,0.49643266201019287,0.18837040662765503,0.02011108212172985,0.45912879705429077,0.1821368932723999,0.0210381168872118,0.42914286255836487,0.20134936273097992,0.02060868963599205,0.46114251017570496,0.1689513921737671,0.008027167990803719,0.39744848012924194,0.17581228911876678,0.006357579957693815,0.3949141204357147,0.2014061063528061,0.008028091862797737,0.4090176224708557,0.21300724148750305,0.00822420883923769,0.4365476667881012,0.19697163999080658,-0.004998689983040094,0.3638303875923157,0.1893056035041809,-0.009223118424415588,0.3696048855781555,0.21927575767040253,-0.004261785186827183,0.38989493250846863,0.2347903549671173,0.00020619662245735526,0.420482873916626,0.2402707040309906,-0.016772320494055748,0.3508896231651306,0.231712207198143,-0.02438858337700367,0.3607557713985443,0.259507954120636,-0.017847293987870216,0.3800114691257477,0.2704167068004608,-0.011930214241147041,0.41604530811309814,0.2945976257324219,-0.02687782607972622,0.3661611080169678,0.2878527045249939,-0.03745322301983833,0.35543543100357056,0.29991814494132996,-0.034893862903118134,0.3521614074707031,0.30691683292388916,-0.030499719083309174
76507.75,0.5608356595039368,0.3672370910644531,-1.1324100768206335e-07,0.5490737557411194,0.3018469214439392,-0.0011069756001234055,0.4960504472255707,0.24803367257118225,-0.008840112015604973,0.4405907094478607,0.22934073209762573,-0.017408374696969986,0.39391177892684937,0.2356942892074585,-0.02905636839568615,0.4689856469631195,0.22021529078483582,-0.03809117153286934,0.3931542932987213,0.19229447841644287,-0.06875413656234741,0.3409442603588104,0.2032637596130371,-0.0885661244392395,0.3075251281261444,0.23322030901908875,-0.09933014214038849,0.4580689072608948,0.2432285100221634,-0.050947368144989014,0.3756635785102844,0.2077559232711792,-0.07902456074953079,0.32338905334472656,0.225935161113739,-0.0933043509721756,0.28987228870391846,0.2628399133682251,-0.10106118023395538,0.45495593547821045,0.2854495644569397,-0.06294712424278259,0.3716892600059509,0.24985508620738983,-0.08793344348669052,0.32118624448776245,0.26858454942703247,-0.09672722965478897,0.2889317274093628,0.3016100525856018,-0.10029508918523788,0.45677095651626587,0.34280914068222046,-0.07365482300519943,0.39395207166671753,0.31848427653312683,-0.09820396453142166,0.35203471779823303,0.31762465834617615,-0.106582410633564,0.3217049837112427,0.3280438482761383,-0.10941041260957718
76507.776,0.5218733549118042,0.34822922945022583,-5.100600901641883e-07,0.4254577159881592,0.3810737729072571,0.014368859119713306,0.35670310258865356,0.35890015959739685,0.02889503538608551,0.31268829107284546,0.3399868309497833,0.0377286933362484,0.2791638970375061,0.32577642798423767,0.045458532869815826,0.34651508927345276,0.2146100401878357,0.042572926729917526,0.2906545400619507,0.2704452574253082,0.051782023161649704,0.2689104676246643,0.32945716381073,0.052344270050525665,0.2610529065132141,0.38135629892349243,0.05220011621713638,0.35673147439956665,0.20679597556591034,0.030173128470778465,0.2941635251045227,0.28485924005508423,0.037276796996593475,0.26793336868286133,0.3516324460506439,0.02451867237687111,0.2542940676212311,0.4121813178062439,0.014092942699790001,0.3654981255531311,0.22051115334033966,0.01707473397254944,0.30294716358184814,0.30103713274002075,0.016704820096492767,0.2725573182106018,0.36806535720825195,0.002271398203447461,0.25556862354278564,0.42478227615356445,-0.007939857430756092,0.37371423840522766,0.25516223907470703,0.004785128869116306,0.3166687488555908,0.3100407123565674,0.0014075685758143663,0.2873753607273102,0.35674014687538147,-0.0030566679779440165,0.26448220014572144,0.39925289154052734,-0.005154919344931841
76507.809,0.4769587814807892,0.39273950457572937,-4.487032754241227e-07,0.4359147548675537,0.3456985354423523,-0.0018657537875697017,0.3685903251171112,0.3205876648426056,-0.00867709331214428,0.3107139468193054,0.333617240190506,-0.014860615134239197,0.26759958267211914,0.3598692715167999,-0.022407522425055504,0.34475764632225037,0.26754462718963623,-0.034593284130096436,0.26351481676101685,0.3197408616542816,-0.049162402749061584,0.23064996302127838,0.3737659156322479,-0.05262543261051178,0.21568770706653595,0.42203575372695923,-0.05314168334007263,0.35601893067359924,0.28365904092788696,-0.040356867015361786,0.2755196988582611,0.3464795649051666,-0.05272054299712181,0.24559493362903595,0.4068240821361542,-0.054996173828840256,0.2285316288471222,0.4587023854255676,-0.058501098304986954,0.3688730299472809,0.31505587697029114,-0.0447889119386673,0.2948129177093506,0.37075620889663696,-0.05432722717523575,0.2606772184371948,0.4278477430343628,-0.05427497252821922,0.23937252163887024,0.4780294895172119,-0.05660640448331833,0.38205450773239136,0.3572565019130707,-0.0485265851020813,0.3278336524963379,0.40150097012519836,-0.06214352697134018,0.2972211539745331,0.4382510483264923,-0.06591857224702835,0.27536243200302124,0.47410595417022705,-0.06755808740854263
76507.865,0.6124498248100281,0.6095530986785889,-6.353919843604672e-07,0.527747392654419,0.5076440572738647,0.015353229828178883,0.4281771183013916,0.46851712465286255,0.0038604545406997204,0.34586501121520996,0.4770974814891815,-0.012561489827930927,0.2875751256942749,0.506025493144989,-0.0335431732237339,0.4084711968898773,0.43233421444892883,-0.04867119714617729,0.27323588728904724,0.4370822012424469,-0.08758164942264557,0.2201431840658188,0.49877405166625977,-0.10730188339948654,0.20188669860363007,0.5500413775444031,-0.11601824313402176,0.4277695417404175,0.4893995523452759,-0.07419762015342712,0.2880313992500305,0.5012049674987793,-0.10445898026227951,0.22625568509101868,0.5634623765945435,-0.10842878371477127,0.20431630313396454,0.6130058765411377,-0.11124122142791748,0.44882431626319885,0.5724193453788757,-0.09718628227710724,0.3077663481235504,0.5907764434814453,-0.12437285482883453,0.24918758869171143,0.6409081220626831,-0.11884070932865143,0.2286940962076187,0.6767100095748901,-0.11371232569217682,0.46844059228897095,0.6710124611854553,-0.11745560169219971,0.35001233220100403,0.7061150074005127,-0.1432107537984848,0.2921638786792755,0.732494592666626,-0.1411590874195099,0.26236745715141296,0.751639723777771,-0.13577158749103546
76507.897,0.6222923398017883,0.6423434019088745,-2.611615741443529e-07,0.5392399430274963,0.5444064140319824,0.023866575211286545,0.44547951221466064,0.5069146752357483,0.0162856113165617,0.3685004413127899,0.5135466456413269,0.004271756857633591,0.31189414858818054,0.5400551557540894,-0.012196741998195648,0.42383936047554016,0.4770062565803528,-0.0462653785943985,0.29828202724456787,0.47787487506866455,-0.07760307192802429,0.23410913348197937,0.512861967086792,-0.09043269604444504,0.1986318826675415,0.548090934753418,-0.09427587687969208,0.437852144241333,0.5393408536911011,-0.07239250838756561,0.3035411834716797,0.5537694692611694,-0.09787175059318542,0.24484705924987793,0.5930578112602234,-0.09767021983861923,0.2202286273241043,0.6268709897994995,-0.09567460417747498,0.456426739692688,0.6229021549224854,-0.09432901442050934,0.32609155774116516,0.64512699842453,-0.11271927505731583,0.27238768339157104,0.6778733134269714,-0.10396302491426468,0.24784889817237854,0.700629711151123,-0.09685079008340836,0.4779733121395111,0.7165952324867249,-0.11289164423942566,0.3773118853569031,0.7562359571456909,-0.13074102997779846,0.3209885060787201,0.7747810482978821,-0.12831448018550873,0.28237253427505493,0.7842211723327637,-0.12332601100206375
76507.93,0.6133548617362976,0.6722663044929504,-1.5503199790600775e-07,0.5345365405082703,0.5690975785255432,0.024869859218597412,0.4414191246032715,0.5309491753578186,0.01907035894691944,0.36339330673217773,0.543102502822876,0.009678821079432964,0.30570900440216064,0.5720420479774475,-0.003659455804154277,0.4231337606906891,0.5042741298675537,-0.050104591995477676,0.2934076189994812,0.49749428033828735,-0.08189268410205841,0.23127521574497223,0.5384746193885803,-0.09117240458726883,0.20114925503730774,0.5782517194747925,-0.09063167870044708,0.4379163086414337,0.5640648007392883,-0.07502981275320053,0.30143511295318604,0.5713381767272949,-0.10117831826210022,0.24059294164180756,0.6205731630325317,-0.09566264599561691,0.2227504551410675,0.661928653717041,-0.08729194849729538,0.4576754570007324,0.6454296708106995,-0.09552875906229019,0.32896241545677185,0.6728388667106628,-0.1130833625793457,0.27834224700927734,0.7103242874145508,-0.09793934226036072,0.2639971375465393,0.7302851676940918,-0.08389168232679367,0.4798200726509094,0.7364563345909119,-0.11264973878860474,0.37657684087753296,0.7826238870620728,-0.12816180288791656,0.3292157053947449,0.8002815842628479,-0.12056908011436462,0.3064035177230835,0.7985184192657471,-0.10983433574438095
76507.978,0.6123372316360474,0.689268946647644,-1.933435811452e-07,0.5371653437614441,0.5833329558372498,0.02387445978820324,0.44684648513793945,0.5445177555084229,0.016439946368336678,0.36780643463134766,0.5509640574455261,0.006156514398753643,0.3074861764907837,0.5763576030731201,-0.007513190619647503,0.424269437789917,0.5181992053985596,-0.05653396248817444,0.2912788689136505,0.5162758231163025,-0.08518044650554657,0.2312508076429367,0.5553414821624756,-0.08899796009063721,0.20355963706970215,0.593284010887146,-0.08478798717260361,0.4395577907562256,0.5785765647888184,-0.07998788356781006,0.29844674468040466,0.5918168425559998,-0.10301779955625534,0.24461178481578827,0.6374178528785706,-0.0928114652633667,0.23275215923786163,0.6690621376037598,-0.08167430013418198,0.4577494263648987,0.6592844128608704,-0.09820657968521118,0.32088321447372437,0.6918482184410095,-0.11465319991111755,0.28178712725639343,0.7301382422447205,-0.09387437254190445,0.2801856994628906,0.7447257041931152,-0.07616889476776123,0.4776039719581604,0.7489902973175049,-0.11301236599683762,0.370161771774292,0.8008507490158081,-0.1290723979473114,0.3299190104007721,0.8167435526847839,-0.1187230795621872,0.31748902797698975,0.8087434768676758,-0.1055203229188919
76508.014,0.6150628328323364,0.7025439739227295,-2.088498831653851e-07,0.5429466366767883,0.5943555235862732,0.025425082072615623,0.4561813473701477,0.5543996095657349,0.01798524148762226,0.379100501537323,0.5579319596290588,0.0076766107231378555,0.318215548992157,0.5807961225509644,-0.005688179284334183,0.43076688051223755,0.5296417474746704,-0.05883200466632843,0.29300010204315186,0.5277835130691528,-0.08688224852085114,0.2334020584821701,0.5661922097206116,-0.08872964233160019,0.20642906427383423,0.6034704446792603,-0.08289213478565216,0.44466009736061096,0.59141606092453,-0.08268555998802185,0.2969798445701599,0.6075156927108765,-0.10506584495306015,0.2466035783290863,0.6504706740379333,-0.09231823682785034,0.23783789575099945,0.6776507496833801,-0.07934389263391495,0.4607013463973999,0.6734089255332947,-0.10091978311538696,0.3179095387458801,0.7038796544075012,-0.11645235866308212,0.2829710841178894,0.7376192212104797,-0.09229396283626556,0.2855130434036255,0.748336136341095,-0.07224831730127335,0.47835826873779297,0.7636656165122986,-0.11569473892450333,0.36777231097221375,0.8105902671813965,-0.13117066025733948,0.3294644355773926,0.8225646615028381,-0.11878065019845963,0.31959712505340576,0.8123453855514526,-0.10389523953199387
76508.041,0.6164758205413818,0.7127687335014343,-2.008553536825275e-07,0.5453262329101562,0.6033429503440857,0.024924390017986298,0.4593107998371124,0.5639166831970215,0.01779085211455822,0.3832472860813141,0.5703396201133728,0.0075145745649933815,0.32372379302978516,0.5961297750473022,-0.0057253711856901646,0.43460744619369507,0.5398696064949036,-0.056083742529153824,0.29551416635513306,0.5376758575439453,-0.08506680279970169,0.2361658811569214,0.575663149356842,-0.08884468674659729,0.20942865312099457,0.6125981211662292,-0.08436241000890732,0.4458259046077728,0.6029042601585388,-0.07979550212621689,0.2981043756008148,0.6159794926643372,-0.10236366093158722,0.2474636435508728,0.6578658819198608,-0.09155725687742233,0.23817984759807587,0.684829831123352,-0.08011804521083832,0.4597557783126831,0.6848498582839966,-0.09819373488426208,0.31613868474960327,0.7146382927894592,-0.11399030685424805,0.2836708724498749,0.7488170862197876,-0.09150417149066925,0.2882855236530304,0.7592492699623108,-0.07261504232883453,0.47576722502708435,0.7738944888114929,-0.11331376433372498,0.36514583230018616,0.821073055267334,-0.12900644540786743,0.3297678232192993,0.8310637474060059,-0.1174044981598854,0.32357147336006165,0.8175716400146484,-0.10320106148719788
